file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,66,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,1,0
style.css,67,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,0
style.css,68,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,0
style.css,69,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,4
style.css,70,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,12
style.css,71,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,30
style.css,72,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,7
style.css,73,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,74,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,75,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,16
style.css,76,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,15
style.css,77,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,19
style.css,78,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,15
style.css,79,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,14
style.css,80,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,81,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,82,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,10
style.css,83,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,14
style.css,84,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,85,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,86,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,10
style.css,87,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,16
style.css,88,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,18
style.css,89,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,90,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,91,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,92,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,11
style.css,93,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,18
style.css,94,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,14
style.css,95,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,96,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,97,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,9
style.css,98,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,12
style.css,99,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,58
style.css,100,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,8
style.css,101,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,15
style.css,102,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,103,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,104,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,15
style.css,105,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,14
style.css,106,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,107,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,108,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,6
style.css,109,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,12
style.css,110,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,36
style.css,111,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,8
style.css,112,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,113,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,114,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,25
style.css,115,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,6
style.css,116,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,2,25
style.css,117,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,0
style.css,118,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,119,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,120,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,14
